File Name,Case ID,Sample ID,Sample Type
22877164-7508-486b-a82b-13a81111284e.FPKM.txt,TCGA-ER-A42K,TCGA-ER-A42K-06A,Metastatic
9576cf20-e04a-4c06-8988-8d38c2c017aa.FPKM.txt,TCGA-ER-A19N,TCGA-ER-A19N-06A,Metastatic
c0cd55bb-9bec-4e83-a453-cc73637673eb.FPKM.txt,TCGA-EE-A29S,TCGA-EE-A29S-06A,Metastatic
f7fb7de2-e995-4e5b-9362-b4e20ed44070.FPKM.txt,TCGA-EB-A5SH,TCGA-EB-A5SH-06A,Metastatic
ef95a1e2-1d47-4d9b-8de3-b74a5cc6b6ec.FPKM.txt,TCGA-EE-A2GM,TCGA-EE-A2GM-06B,Metastatic
664c6432-ca75-401f-bbb0-4b26656acf87.FPKM.txt,TCGA-D3-A3C7,TCGA-D3-A3C7-06A,Metastatic
dfdc1010-e1aa-407e-aa1c-bb51b86f3ebd.FPKM.txt,TCGA-EE-A2MU,TCGA-EE-A2MU-06A,Metastatic
b15a2a09-2fa9-4696-a65a-9341f490fdb5.FPKM.txt,TCGA-ER-A199,TCGA-ER-A199-06A,Metastatic
c39f5ea8-07e5-4959-b3db-0c82f87b79d8.FPKM.txt,TCGA-FW-A5DY,TCGA-FW-A5DY-06A,Metastatic
a7da5222-c4dd-44a8-9b4b-abba71dd1c07.FPKM.txt,TCGA-D3-A8GO,TCGA-D3-A8GO-06A,Metastatic
6aa835d6-4b64-42a4-9e14-cc66193c05b6.FPKM.txt,TCGA-D3-A3MU,TCGA-D3-A3MU-06A,Metastatic
153ea106-9a16-42c3-8cb6-0e184d1c4393.FPKM.txt,TCGA-D9-A3Z1,TCGA-D9-A3Z1-06A,Metastatic
bb1deae0-b7c8-4741-8be4-fa28994730a4.FPKM.txt,TCGA-DA-A1HV,TCGA-DA-A1HV-06A,Metastatic
46b65e6b-ed6b-449c-b89e-c0b4f5afe7b6.FPKM.txt,TCGA-D3-A8GP,TCGA-D3-A8GP-06A,Metastatic
aada5dcf-323a-41ac-8d96-523b14f66d11.FPKM.txt,TCGA-DA-A1I0,TCGA-DA-A1I0-06A,Metastatic
ac3c8bbc-d5c0-4ad6-8f08-ab79e9b1a94e.FPKM.txt,TCGA-D3-A1Q7,TCGA-D3-A1Q7-06A,Metastatic
b32b38be-4f53-4aeb-a190-bfe2a048b9bb.FPKM.txt,TCGA-D9-A3Z4,TCGA-D9-A3Z4-01A,Primary Tumor
6810c98f-2eb6-4956-92c4-5e796c17331b.FPKM.txt,TCGA-EE-A184,TCGA-EE-A184-06A,Metastatic
94e2fc89-29f8-4a60-8d42-d43e01530839.FPKM.txt,TCGA-D9-A6EA,TCGA-D9-A6EA-06A,Metastatic
fc6f1676-b097-40f8-9c0c-fc8142cf5be3.FPKM.txt,TCGA-EB-A4P0,TCGA-EB-A4P0-01A,Primary Tumor
3618bb58-9aa4-4dfe-93d1-8f2e7a466d1c.FPKM.txt,TCGA-FW-A3R5,TCGA-FW-A3R5-06A,Metastatic
b885ce94-9a32-49ce-ad45-79d87f28bd77.FPKM.txt,TCGA-EB-A5UM,TCGA-EB-A5UM-01A,Primary Tumor
9a72c0d4-4359-4d9b-bea5-859ddc812b05.FPKM.txt,TCGA-EE-A29Q,TCGA-EE-A29Q-06A,Metastatic
dffdfddf-6269-4ffc-a17a-35f301a5b06d.FPKM.txt,TCGA-ER-A19T,TCGA-ER-A19T-01A,Primary Tumor
d860679e-7bee-4c69-a9f1-cbf70e643d8f.FPKM.txt,TCGA-WE-A8ZN,TCGA-WE-A8ZN-06A,Metastatic
338b949b-f16c-4569-84c2-e2c2d60f2a82.FPKM.txt,TCGA-DA-A95Y,TCGA-DA-A95Y-06A,Metastatic
15c1d1b9-a970-451b-aef6-56bdab123674.FPKM.txt,TCGA-EE-A29L,TCGA-EE-A29L-06A,Metastatic
f31c68cc-7ef2-4f72-9102-12dd0b73c1e9.FPKM.txt,TCGA-EB-A1NK,TCGA-EB-A1NK-01A,Primary Tumor
36a3aefd-df64-41ea-a4cc-00b2dcd017c9.FPKM.txt,TCGA-EB-A85J,TCGA-EB-A85J-01A,Primary Tumor
ab2983e3-716c-4374-81a2-2837cf76930e.FPKM.txt,TCGA-D3-A2JP,TCGA-D3-A2JP-06A,Metastatic
ed3f653d-bb2d-4e09-b627-e5d2f861ecb1.FPKM.txt,TCGA-D3-A2JG,TCGA-D3-A2JG-06A,Metastatic
486a3295-4aea-4023-b9e7-5ef683cd9808.FPKM.txt,TCGA-EE-A29W,TCGA-EE-A29W-06A,Metastatic
f8e4b067-7347-4600-a355-50f5e22ca1ee.FPKM.txt,TCGA-XV-AB01,TCGA-XV-AB01-06A,Metastatic
944c33bc-e503-480f-a264-8d77da56921b.FPKM.txt,TCGA-EE-A3AH,TCGA-EE-A3AH-06A,Metastatic
c8bd98d2-41c0-45b4-825e-5be2caf7ebd9.FPKM.txt,TCGA-EB-A299,TCGA-EB-A299-01A,Primary Tumor
aaffafa9-2aa2-45da-b8ca-78c0f2b52303.FPKM.txt,TCGA-ER-A19E,TCGA-ER-A19E-06A,Metastatic
2ccf459a-66ff-4824-864f-1540cfa09789.FPKM.txt,TCGA-WE-AAA3,TCGA-WE-AAA3-06A,Metastatic
ca83752c-6f18-495e-9662-8b5e2aff9e24.FPKM.txt,TCGA-EE-A20B,TCGA-EE-A20B-06A,Metastatic
7cd8b6ea-4bff-4862-8fa3-8d40d258c304.FPKM.txt,TCGA-D3-A51E,TCGA-D3-A51E-06A,Metastatic
2c96ff80-4ea4-4de9-ae5d-ec3db1a9bffb.FPKM.txt,TCGA-D3-A3BZ,TCGA-D3-A3BZ-06A,Metastatic
c64a3563-9b47-4d9e-afc3-1aa1bb1affbd.FPKM.txt,TCGA-DA-A3F5,TCGA-DA-A3F5-06A,Metastatic
f9d38f12-9cc0-4efb-bfde-371e8fffe9aa.FPKM.txt,TCGA-FS-A1YX,TCGA-FS-A1YX-06A,Metastatic
b2e24e75-0895-4fab-8367-af1dc71e4a5e.FPKM.txt,TCGA-FS-A1ZM,TCGA-FS-A1ZM-06A,Metastatic
36b0ea41-e163-4c12-bdb3-306f481142a9.FPKM.txt,TCGA-GN-A4U9,TCGA-GN-A4U9-06A,Metastatic
0e492418-b024-4562-bf64-d630b134ed3d.FPKM.txt,TCGA-Z2-AA3S,TCGA-Z2-AA3S-06A,Metastatic
7d4fcdee-2fe3-48dd-b2bb-3404ec0a6b05.FPKM.txt,TCGA-WE-AAA4,TCGA-WE-AAA4-06A,Metastatic
86b6f374-3d4c-4da2-a89b-489a944bdeab.FPKM.txt,TCGA-D3-A1Q1,TCGA-D3-A1Q1-06A,Metastatic
e5965de5-cbab-41ff-b2e0-96e698f3d1ab.FPKM.txt,TCGA-FS-A4F9,TCGA-FS-A4F9-06A,Metastatic
f16f3a7f-172b-4846-afe2-121629eec959.FPKM.txt,TCGA-WE-A8ZR,TCGA-WE-A8ZR-06A,Metastatic
e4afa00c-b84d-41e2-a874-f630bfeb7046.FPKM.txt,TCGA-FS-A1YY,TCGA-FS-A1YY-06A,Metastatic
c8a89796-a48d-428c-b4ce-19aa008cc2de.FPKM.txt,TCGA-EE-A2MS,TCGA-EE-A2MS-06A,Metastatic
22ad5f1f-bb86-47ad-abc7-31223e130984.FPKM.txt,TCGA-FS-A4FC,TCGA-FS-A4FC-06A,Metastatic
