Sample ID,Sample Type
TCGA-DA-A1I8-06A,Metastatic
TCGA-ER-A2NH-06A,Metastatic
TCGA-XV-A9VZ-01A,Primary Tumor
TCGA-ER-A19L-06A,Metastatic
TCGA-EB-A4OY-01A,Primary Tumor
TCGA-D9-A4Z3-01A,Primary Tumor
TCGA-D3-A51J-06A,Metastatic
TCGA-GN-A263-01A,Primary Tumor
TCGA-D3-A5GT-01A,Primary Tumor
TCGA-D3-A3C8-06A,Metastatic
TCGA-EE-A2MD-06A,Metastatic
TCGA-EE-A185-06A,Metastatic
TCGA-EE-A183-06A,Metastatic
TCGA-3N-A9WB-06A,Metastatic
TCGA-EE-A3AD-06A,Metastatic
TCGA-EE-A3AB-06A,Metastatic
TCGA-EE-A20C-06A,Metastatic
TCGA-EB-A6QZ-01A,Primary Tumor
TCGA-ER-A3ET-06A,Metastatic
TCGA-FS-A1ZA-06A,Metastatic
TCGA-FS-A1ZT-06A,Metastatic
TCGA-DA-A1IB-06A,Metastatic
TCGA-FS-A1ZC-06A,Metastatic
TCGA-DA-A1HY-06A,Metastatic
TCGA-D3-A8GJ-06A,Metastatic
TCGA-3N-A9WD-06A,Metastatic
TCGA-D3-A8GL-06A,Metastatic
TCGA-FS-A1ZE-06A,Metastatic
TCGA-DA-A95V-06A,Metastatic
TCGA-W3-AA1V-06B,Metastatic
TCGA-EB-A82B-01A,Primary Tumor
TCGA-EB-A5VV-06A,Metastatic
TCGA-D3-A3CE-06A,Metastatic
TCGA-EE-A3AC-06A,Metastatic
TCGA-IH-A3EA-01A,Primary Tumor
TCGA-ER-A19F-06A,Metastatic
TCGA-EE-A2ME-06A,Metastatic
TCGA-FR-A7U8-06A,Metastatic
TCGA-EE-A3JA-06A,Metastatic
TCGA-GN-A266-06A,Metastatic
TCGA-W3-A824-06A,Metastatic
TCGA-EB-A51B-01A,Primary Tumor
TCGA-EE-A29R-06A,Metastatic
TCGA-EB-A82C-01A,Primary Tumor
TCGA-ER-A197-06A,Metastatic
TCGA-ER-A19D-06A,Metastatic
TCGA-EE-A2A1-06A,Metastatic
TCGA-EB-A5UN-06A,Metastatic
TCGA-HR-A2OH-06A,Metastatic
TCGA-FS-A1ZB-06A,Metastatic
TCGA-EE-A29B-06A,Metastatic
TCGA-DA-A3F2-06A,Metastatic
TCGA-BF-A1PV-01A,Primary Tumor
TCGA-EE-A2MQ-06A,Metastatic
TCGA-EB-A5FP-01A,Primary Tumor
TCGA-DA-A1I1-06A,Metastatic
TCGA-D3-A3ML-06A,Metastatic
TCGA-EE-A3J5-06A,Metastatic
TCGA-EE-A3JH-06A,Metastatic
TCGA-XV-A9W2-01A,Primary Tumor
TCGA-EB-A3Y7-01A,Primary Tumor
TCGA-EE-A2GI-06A,Metastatic
TCGA-D3-A1Q5-06A,Metastatic
TCGA-D3-A8GB-06A,Metastatic
TCGA-BF-A1PU-01A,Primary Tumor
TCGA-EE-A2GP-06A,Metastatic
TCGA-BF-A5EO-01A,Primary Tumor
TCGA-YD-A9TA-06A,Metastatic
TCGA-FS-A1ZR-06A,Metastatic
TCGA-ER-A42L-06A,Metastatic
TCGA-EB-A5SG-06A,Metastatic
TCGA-FS-A1ZP-06A,Metastatic
TCGA-EB-A5KH-06A,Metastatic
TCGA-EE-A2MP-06A,Metastatic
TCGA-FR-A69P-06A,Metastatic
TCGA-D3-A2J8-06A,Metastatic
TCGA-DA-A3F3-06A,Metastatic
TCGA-WE-AAA0-06A,Metastatic
TCGA-D3-A2JH-06A,Metastatic
TCGA-D9-A1X3-06A,Metastatic
TCGA-FW-A3TU-06A,Metastatic
TCGA-LH-A9QB-06A,Metastatic
TCGA-EB-A44R-06A,Metastatic
TCGA-RP-A693-06A,Metastatic
TCGA-BF-A3DJ-01A,Primary Tumor
TCGA-EE-A2M8-06A,Metastatic
TCGA-EE-A3J3-06A,Metastatic
